Monthly Net Income,1,2,3,4,5,6
500,50,50,50,50,50,50
550,50,50,50,50,50,50
600,50,50,50,50,50,50
650,50,50,50,50,50,50
700,50,50,50,50,50,50
750,50,50,50,50,50,50
800,50,50,50,50,50,50
850,50,50,50,50,50,50
900,50,50,50,50,50,50
950,50,50,50,50,50,50
1000,50,50,50,50,50,50
1050,50,50,50,50,50,50
1100,50,50,50,50,50,50
1150,50,50,50,50,50,50
1200,50,50,50,50,50,50
1250,50,50,50,50,50,50
1300,50,50,50,50,50,50
1350,169,237,270,287,294,304
1400,194,272,310,330,338,349
1450,219,307,350,372,381,394
1500,244,342,390,415,425,439
1550,269,377,430,457,468,484
1600,294,412,470,500,512,529
1650,319,447,510,542,555,574
1700,329,482,550,585,599,619
1750,338,505,590,627,642,664
1800,348,519,630,670,686,709
1850,358,533,660,712,729,754
1900,367,547,678,755,773,799
1950,377,561,695,776,816,844
2000,387,575,712,796,860,889
2050,396,589,730,815,897,934
2100,406,603,747,835,918,979
2150,416,617,764,854,939,1021
2200,425,631,782,873,961,1044
2250,435,645,799,893,982,1067
2300,445,659,817,912,1003,1091
2350,454,673,834,932,1025,1114
2400,464,687,851,951,1046,1137
2450,474,701,869,970,1067,1160
2500,483,715,886,990,1089,1184
2550,493,729,904,1009,1110,1207
2600,503,743,921,1029,1132,1230
2650,512,757,938,1048,1153,1253
2700,522,771,956,1067,1174,1276
2750,532,785,973,1087,1196,1300
2800,541,799,990,1106,1217,1323
2850,551,813,1008,1126,1238,1346
2900,560,827,1025,1145,1260,1369
2950,570,841,1043,1165,1281,1392
3000,580,855,1060,1184,1302,1416
3050,589,869,1077,1203,1324,1439
3100,599,883,1095,1223,1345,1462
3150,609,897,1112,1242,1366,1485
3200,618,911,1129,1262,1388,1508
3250,628,925,1147,1281,1409,1532
3300,637,937,1162,1298,1428,1552
3350,645,949,1177,1314,1446,1572
3400,654,960,1192,1331,1464,1592
3450,663,972,1207,1348,1482,1611
3500,671,984,1221,1364,1501,1631
3550,680,996,1236,1381,1519,1651
3600,689,1008,1251,1398,1537,1671
3650,697,1020,1266,1414,1556,1691
3700,706,1032,1281,1431,1574,1711
3750,715,1044,1296,1447,1592,1731
3800,723,1056,1311,1464,1610,1751
3850,732,1068,1326,1481,1629,1770
3900,741,1080,1340,1497,1647,1790
3950,749,1092,1355,1514,1665,1810
4000,755,1098,1363,1522,1675,1820
4050,760,1104,1370,1531,1684,1830
4100,765,1110,1378,1539,1693,1840
4150,770,1116,1385,1547,1702,1850
4200,775,1122,1393,1556,1711,1860
4250,781,1128,1400,1564,1720,1870
4300,786,1134,1407,1572,1729,1880
4350,791,1140,1415,1580,1738,1890
4400,796,1147,1422,1589,1747,1900
4450,801,1153,1430,1597,1757,1909
4500,805,1159,1437,1605,1766,1919
4550,809,1165,1444,1613,1775,1929
4600,814,1171,1452,1622,1784,1939
4650,818,1177,1459,1630,1793,1949
4700,823,1183,1466,1638,1802,1959
4750,827,1189,1474,1646,1811,1968
4800,831,1196,1481,1655,1820,1978
4850,836,1202,1489,1663,1829,1988
4900,840,1208,1496,1671,1838,1998
4950,844,1214,1503,1679,1847,2008
5000,849,1220,1511,1687,1856,2018
5050,853,1226,1518,1696,1865,2028
5100,858,1232,1525,1704,1874,2037
5150,863,1240,1535,1715,1886,2050
5200,869,1249,1546,1727,1899,2065
5250,874,1258,1557,1739,1913,2079
5300,880,1267,1567,1751,1926,2093
5350,886,1276,1578,1763,1939,2108
5400,892,1284,1589,1775,1952,2122
5450,898,1293,1599,1786,1965,2136
5500,903,1302,1610,1798,1978,2150
5550,909,1311,1621,1810,1991,2165
5600,915,1319,1631,1822,2005,2179
5650,921,1328,1642,1834,2018,2193
5700,927,1337,1653,1846,2031,2207
5750,932,1346,1663,1858,2044,2222
5800,938,1354,1674,1870,2057,2236
5850,942,1359,1680,1876,2064,2243
5900,945,1362,1684,1881,2069,2249
5950,949,1366,1688,1886,2074,2255
6000,952,1369,1692,1890,2079,2260
6050,956,1372,1696,1895,2084,2266
6100,959,1376,1701,1899,2089,2271
6150,963,1379,1705,1904,2095,2277
6200,966,1383,1709,1909,2100,2282
6250,969,1386,1713,1913,2105,2288
6300,972,1389,1716,1917,2109,2292
6350,973,1391,1719,1920,2112,2295
6400,975,1393,1721,1922,2115,2298
6450,976,1396,1723,1925,2117,2302
6500,978,1398,1726,1928,2120,2305
6550,979,1400,1728,1930,2123,2308
6600,981,1402,1730,1933,2126,2311
6650,982,1405,1733,1935,2129,2314
6700,984,1407,1735,1938,2132,2317
6750,986,1410,1738,1942,2136,2322
6800,991,1416,1746,1950,2145,2332
6850,996,1421,1753,1959,2154,2342
6900,1000,1427,1761,1967,2164,2352
6950,1005,1433,1769,1976,2173,2362
7000,1010,1438,1776,1984,2182,2372
7050,1014,1444,1784,1992,2192,2382
7100,1019,1450,1791,2001,2201,2392
7150,1024,1455,1799,2009,2210,2402
7200,1029,1461,1806,2018,2219,2413
7250,1033,1467,1814,2026,2229,2423
7300,1038,1472,1821,2035,2238,2433
7350,1043,1478,1829,2043,2247,2443
7400,1048,1484,1837,2051,2257,2453
7450,1053,1491,1846,2062,2268,2465
7500,1060,1502,1859,2077,2285,2483
7550,1067,1514,1873,2092,2301,2502
7600,1074,1525,1887,2108,2318,2520
7650,1081,1537,1901,2123,2335,2538
7700,1088,1549,1914,2138,2352,2557
7750,1094,1560,1928,2154,2369,2575
7800,1101,1572,1942,2169,2386,2593
7850,1108,1583,1955,2184,2403,2612
7900,1115,1595,1969,2200,2419,2630
7950,1122,1607,1983,2215,2436,2648
8000,1129,1618,1997,2230,2453,2667
8050,1136,1630,2010,2246,2470,2685
8100,1143,1641,2024,2261,2487,2703
8150,1149,1651,2036,2274,2502,2719
8200,1154,1656,2044,2283,2511,2730
8250,1158,1662,2052,2292,2521,2740
8300,1163,1667,2059,2300,2530,2750
8350,1167,1672,2067,2309,2540,2761
8400,1172,1678,2075,2318,2549,2771
8450,1176,1683,2083,2326,2559,2782
8500,1180,1688,2091,2335,2569,2792
8550,1185,1694,2098,2344,2578,2803
8600,1189,1699,2106,2353,2588,2813
8650,1192,1702,2107,2353,2589,2814
8700,1195,1705,2108,2354,2590,2815
8750,1197,1709,2108,2355,2591,2816
8800,1200,1712,2109,2356,2592,2817
8850,1203,1715,2110,2357,2593,2818
8900,1205,1718,2111,2358,2593,2819
8950,1208,1721,2112,2359,2594,2820
9000,1210,1724,2112,2359,2595,2821
9050,1213,1728,2113,2360,2596,2822
9100,1217,1734,2120,2368,2605,2832
9150,1222,1743,2130,2380,2618,2845
9200,1227,1751,2141,2391,2630,2859
9250,1232,1759,2151,2402,2643,2872
9300,1237,1767,2161,2414,2655,2886
